project_id;track_id;section_id;segment_id;point_id;section_duration;section_speed;section_warning;gnss_accuracy;section_weather;timestamp;lon_ontrack;lat_ontrack;lon_rtk;lat_rtk;sun_azimuth;sun_height;tair_thermohygro;tair_tc1;tair_tc2;tair_anemo;rh_thermohygro;ws;wdir;sw_up;sw_down;sw_front;sw_back;sw_left;sw_right;lw_up;lw_down;lw_front;lw_back;lw_left;lw_right;tmrt;pet
picopatt_montpellier;ecusson;1;1;1;114;0.632235971078089;;14;sun;2024-12-12 14:29:37;3.87232527136803;43.6112593615302;3.8724249;43.6112474;188.57338906781;22.651510565752;12.9140917067216;12.453125;13.6875;17;45.9684138246738;0.9259992;38;36.2197401785541;0.175466916020741;37.7182131073729;37.7161798138833;13.1910479296503;53.051793939089;331.880110385481;379.939146328804;369.709777333895;367.619169216001;381.539100405155;369.417200294929;15.6077374777915;9.8741557067216
;;1;1;2;;;;16;;2024-12-12 14:29:38;3.8723330709495;43.611258756779;3.8724251;43.6112473;188.577506613495;22.6510608905654;12.8713664454108;12.34375;13.5390625;17;46.0008392462043;1.028888;39;36.0929224601892;0.324744740098088;37.8304109967245;38.0350194019102;13.1616205169702;53.0626601055455;332.301338823798;380.117661789296;369.687173867048;367.697933716537;382.094988458305;369.781810999096;15.665828137593;9.66623815101085
;;1;1;3;;;;17;;2024-12-12 14:29:39;3.87234087053098;43.6112581520279;3.8724304;43.6112467;188.581624118181;22.650611001062;12.8713664454108;12.328125;13.515625;17;46.0008392462043;1.1832212;29;33.8299116885557;0;37.8212072636136;35.7631737903564;11.18241681843;51.9398229050425;334.109213282592;380.029380203715;369.250857678957;368.104291398111;382.773692662221;369.612843963725;15.5270085813876;9.36894596541085
;;1;1;4;;;;17;;2024-12-12 14:29:40;3.87234867011246;43.6112575472767;3.872438;43.6112458;188.585741581821;22.6501608972492;12.8072785534447;12.3203125;13.5390625;17;46.0771343556878;1.4918876;28;28.2439339451711;0;37.6016324879685;30.5341137092249;7.57671798190093;48.4698937499397;337.707923431622;379.702931242482;369.226386984914;368.66296834893;384.730429981302;369.446163601945;15.2475408595148;8.81899055344473
;;1;1;5;;;;18;;2024-12-12 14:29:41;3.87235646969394;43.6112569425255;3.8724457;43.6112449;188.589859004424;22.6497105791284;12.8072785534447;12.1328125;13.25;17;46.0771343556878;1.4918876;30;27.5288705264176;0;37.8488184629462;27.267143400567;6.3651493627011;47.4240252285034;340.388703968963;379.840263824655;369.524878382181;370.765440112063;386.699607284606;369.709989055966;15.3063017617004;8.83550255344473
;;1;1;6;;;;21;;2024-12-12 14:29:42;3.87236426927541;43.6112563377743;3.8724531;43.6112441;188.593976385944;22.6492600467072;12.7805752651255;12.1328125;13.25;17;46.1725032425422;1.4918876;30;27.228963760014;0;38.1380786464308;25.1560801453686;5.47097640883641;46.2971132155792;342.005622589431;380.462396294153;369.999507240043;373.29666182228;387.506892918752;370.233407944589;15.3917393658485;8.83798326512551
;;1;1;7;;;;22;;2024-12-12 14:29:43;3.87237206885689;43.6112557330231;3.8724604;43.6112437;188.598093726361;22.6488092999901;12.7805752651255;12.1015625;13.2734375;17;46.1725032425422;1.2346656;24;26.7619660809;0;38.2222270634445;23.5228220847633;4.43050717479076;45.6288439785056;343.366509411814;380.844332633946;370.680792501395;374.602295490238;387.91508267349;369.982953044836;15.3988874985046;9.18214966512551
;;1;1;8;;;;23;;2024-12-12 14:29:44;3.87237986843837;43.6112551282719;3.8724671;43.6112426;188.6022110257;22.6483583389768;12.7271686884871;12.0859375;13.3046875;17;46.2697795071336;0.9774436;35;26.8318015136482;0;38.7192286514316;22.1102991235613;4.01558065600165;45.0909687389098;343.803245378524;381.22627213477;370.496461516136;375.866425647239;388.658448818536;371.094395281826;15.4724787162758;9.59364932848707
;;1;1;9;;;;27;;2024-12-12 14:29:45;3.87238766801985;43.6112545235208;3.8724741;43.6112424;188.6063282839;22.6479071636765;12.7271686884871;12.0234375;13.2734375;17;46.2697795071336;0.8745548;47;26.9093488346754;0;38.9992851018053;21.0951901787746;3.41904496181547;44.930240026741;344.320816648255;382.211012768308;371.189746880087;377.806607581912;389.36362811008;370.647759141365;15.5628115882654;9.82698308848707
;;1;1;10;;;;28;;2024-12-12 14:29:46;3.87239546760132;43.6112539187696;3.8724813;43.6112426;188.610445500957;22.647455774092;12.7164873731594;11.9296875;13.296875;17;46.3632410162509;0.8745548;47;27.1912611950947;0;39.296434199385;20.8703673923454;3.03228468087729;45.0212441708141;344.509257483295;383.770012825308;371.904288683979;379.623390301383;390.290959025333;369.634173493894;15.6762450849158;9.85641697315938
