representation,silhouette,calinski_harabasz,davies_bouldin,ari,n_samples,n_features,k
stats_only,0.22367382072707112,366.5704545724704,1.474088913189421,0.06965476167915935,1500,138,4
stats_plus_derivatives,0.15891559018957324,219.34960290139207,2.060709301859794,0.06976671515498317,1500,276,4
